Crawling  http://dnes.dir.bg/news.php?id=22450892 : 0
Crawling  http://dnes.dir.bg/2016/05/01/news22476967.html : 0
Crawling  http://dnes.dir.bg/ereferendum/ : 0
Crawling  http://dnes.dir.bg/ereferendum/anketa.php?id=936&action=result&quq1503=7239&;co=1 : 0
Crawling  http://dnes.dir.bg/ereferendum/anketa.php?id=936&action=result&quq1503=7240&;co=1 : 0
Crawling  http://dnes.dir.bg/ereferendum/anketa.php?id=578 : 0
Crawling  http://dnes.dir.bg/ereferendum/anketa.php?id=933 : 0
Crawling  http://dnes.dir.bg/news_comments.php?id=18704599 : 0
Crawling  http://dnes.dir.bg/contacts.php : 0
Crawling  http://dnes.dir.bg/rules.php : 0
0 1 [ 'http://dnes.dir.bg' ] []

Scoring http://dnes.dir.bg/support/cat_rss.php?section=all 0 0.16429765886287626
0 1 [ 'http://dnes.dir.bg' ] []
1 1 [ 'http://dnes.dir.bg/support/cat_rss.php?section=all' ] []

Scoring http://dnes.dir.bg/news_comments.php?id=22479851 1 0.3812642775556825
0 1 [ 'http://dnes.dir.bg' ] []
1 1 [ 'http://dnes.dir.bg/support/cat_rss.php?section=all' ] []
2 1 [ 'http://dnes.dir.bg/news_comments.php?id=22479851' ] []

Scoring http://dnes.dir.bg/gallery_fp.php 2 0.1937285836664763
Scoring http://dnes.dir.bg/news_comments.php?id=22475911 2 0
Scoring http://dnes.dir.bg/?section=glavnite&page=3&state=0&titles= 0 0
Scoring http://dnes.dir.bg/news_comments.php?id=22476189 2 0
Scoring http://dnes.dir.bg/news/sofia-mvr-proverki-22475981?nt=10 3 0.17433109877079495
0 2 [ 'http://dnes.dir.bg',
  'http://dnes.dir.bg/?section=glavnite&page=3&state=0&titles=' ] []
1 1 [ 'http://dnes.dir.bg/support/cat_rss.php?section=all' ] []
2 3 [ 'http://dnes.dir.bg/news_comments.php?id=22479851',
  'http://dnes.dir.bg/news_comments.php?id=22475911',
  'http://dnes.dir.bg/news_comments.php?id=22476189' ] []
3 1 [ 'http://dnes.dir.bg/gallery_fp.php' ] []
4 1 [ 'http://dnes.dir.bg/news/sofia-mvr-proverki-22475981?nt=10' ] []

Scoring http://dnes.dir.bg/news_comments.php?id=22475728 2 0
Scoring http://dnes.dir.bg/news_comments.php?id=22475244 2 0
Scoring http://dnes.dir.bg/news_comments.php?id=22477065 2 0
Scoring http://dnes.dir.bg/news_comments.php?id=22479706 2 0
Scoring http://dnes.dir.bg/cat/politics/ 0 0.015438429600562839
Scoring http://dnes.dir.bg/news/USA-barak-obama-prezidentski-izbori-sasht-izbori-2016-22476697?nt=10 3 0.184793657247408
Scoring http://dnes.dir.bg/tag_first.php?id=45576 1 0.3525711871018073
Scoring http://dnes.dir.bg/news/targovia-es-evropeyski-parlament-novi-mitnicheski-pravila-22476189?nt=10 6 0.01266065821869847
Scoring http://dnes.dir.bg/support/cat_rss.php?section=glavnite 1 0
Scoring http://dnes.dir.bg/news/bansko-hram-sveti-georgi-pobedonosetz-22476888?nt=10 4 0.020357608274534204
Scoring http://dnes.dir.bg/?&state=1 0 0.00043329689700335805
Scoring http://dnes.dir.bg/tag_first.php?id=139004 7 0.0019193857965451055
Scoring http://dnes.dir.bg/news_comments.php?id=22476332 2 0
Scoring http://dnes.dir.bg/news/produkti-mente-22477065?nt=10 9 0.008767435240535155
Scoring http://dnes.dir.bg/news/patriotichen-fontan-22476332?nt=10 9 0.004075496517623293
Scoring http://dnes.dir.bg/news/plovdiv-burki-22479851?nt=10 9 0.001611313974381267
Scoring http://dnes.dir.bg/cat/business/ 5 0
Scoring http://dnes.dir.bg/tag_first.php?id=139584 7 0.0007864284911807662
Scoring http://dnes.dir.bg/news/dazhd-vremeto-mi-22474637?nt=10 9 0.0008305839466580532
Scoring http://dnes.dir.bg/news/hilari-klintan-barak-obama-22474405?nt=10 9 0
Scoring http://dnes.dir.bg/news/ukrina-22479706?nt=10 8 0.0056054973008437025
Scoring http://dnes.dir.bg/ 0 0
Scoring http://dnes.dir.bg/news/alpinist-bojan-petrov-osemhiljadnik-anapurna-22475452?nt=10 9 0.00031967119534193403
Scoring http://dnes.dir.bg/tag_first.php?id=46544 7 0.014562475620855546
Scoring http://dnes.dir.bg/news_comments.php?id=22476967 2 0
Scoring http://dnes.dir.bg/cat/main/ 0 0
Scoring http://dnes.dir.bg/news/voda-tzena-kevr-22475005?nt=10 9 0.0014841876926589793
Scoring http://dnes.dir.bg/news_comments.php?id=22474405 2 0
Scoring http://dnes.dir.bg/news_comments.php?id=22475452 2 0
Scoring http://dnes.dir.bg/cat.php?id=434 5 0.08973851422237178
Scoring http://dnes.dir.bg/news/iznos-gazprom-krajat-zhen-potok-22476967?nt=10 8 0.0015560345324404385
0 5 [ 'http://dnes.dir.bg',
  'http://dnes.dir.bg/?section=glavnite&page=3&state=0&titles=',
  'http://dnes.dir.bg/?&state=1',
  'http://dnes.dir.bg/',
  'http://dnes.dir.bg/cat/main/' ] [ 0.00043329689700335805 ]
